id,subject,predicted_json,validation_score,validation_evaluation,classification_cost,evaluation_cost,run_id,classification_model,evaluation_model
115,Question About Current Promotions,"{""purpose"": ""Pricing and Promotions"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""FAQ database"", ""promotions system""], ""customer_status"": ""Unknown"", ""preferred_language"": ""English"", ""ssr_requests"": []}",9,"The output accurately captures the intent of the email as a request for information about promotions, which falls under 'Pricing and Promotional Offers'. The sentiment is correctly identified as 'Neutral', and the complexity level is appropriately classified as 'Low'. The agent type 'Junior' is suitable for this request, and the priority level is correctly marked as 'Medium' given the inquiry nature. The required tools listed are relevant for handling promotional inquiries. The customer status is marked as 'Unknown', which is appropriate since the email does not indicate whether Chris is a current customer. The preferred language is correctly identified as 'English'. Overall, the output is very accurate with no significant discrepancies.",0.00031424999999999997,0.00046080000000000003,0,gpt-4o-mini,gpt-4o-mini
143,Lost item during stay,"{""purpose"": ""Lost and Found Request"", ""sentiment"": ""Positive"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""Lost and Found Database"", ""Customer Service System""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",9,"The output accurately captures the intent of the email as a 'Lost and Found Request' and reflects a positive sentiment. The complexity level is correctly identified as 'Low', and the agent type as 'Junior' is appropriate for handling such requests. The priority level is set to 'Medium', which is reasonable given the context. The required tools listed are suitable for the request. The customer status is correctly identified as 'Customer', and the preferred language is 'English', matching the email. The only minor issue is that the 'ssr_requests' field is empty, which is appropriate since there are no special service requests mentioned in the email. Overall, the output is very accurate with only minor discrepancies.",0.000317625,0.00046725,0,gpt-4o-mini,gpt-4o-mini
105,Loyalty Program Points Question,"{""purpose"": ""Loyalty Programs"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Low"", ""required_tools"": [""Loyalty Program Database""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as 'Loyalty Programs', the sentiment is neutral, and the complexity level is low, which aligns with the customer's straightforward inquiry about their loyalty points. The agent type is appropriately classified as 'Junior', and the priority level is 'Low', which is suitable given the nature of the request. The required tools are relevant, and the customer status is correctly identified as 'Customer'. The preferred language is also accurately noted as 'English'. Overall, the output is complete and matches the email content perfectly.",0.000310725,0.00045044999999999997,0,gpt-4o-mini,gpt-4o-mini
69,Loyalty Program Points Inquiry,"{""purpose"": ""Loyalty Programs"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Low"", ""required_tools"": [""Loyalty Program Database"", ""FAQ Database""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as 'Loyalty Programs', the sentiment is neutral, and the complexity level is low, which aligns with the straightforward inquiry about loyalty points. The agent type is appropriate as 'Junior', and the priority level is correctly marked as 'Low'. The required tools are suitable for handling the request, and the customer status is correctly identified as 'Customer'. The preferred language is also accurately noted as 'English'. All fields match the predefined labels perfectly.",0.0003156,0.000447225,0,gpt-4o-mini,gpt-4o-mini
76,Question about baggage policy,"{""purpose"": ""Baggage Information"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""FAQ database"", ""GDS""], ""customer_status"": ""Unknown"", ""preferred_language"": ""English"", ""ssr_requests"": []}",9,"The output accurately captures the intent of the email as 'Baggage Information', which is correct given the inquiry about baggage dimensions and fees for sporting equipment. The sentiment is appropriately labeled as 'Neutral', reflecting the tone of the email. The complexity level is correctly identified as 'Low', as the request is straightforward. The agent type 'Junior' is suitable for handling such inquiries. The priority level is marked as 'Medium', which is reasonable given the nature of the question. The required tools include 'FAQ database' and 'GDS', which are appropriate for addressing baggage policy questions. The customer status is marked as 'Unknown', which is acceptable since the email does not provide information about the customer's previous interactions. The preferred language is correctly identified as 'English'. However, there are no SSR requests, which is accurate. Overall, the output is nearly perfect with only minor room for improvement in the priority level, which could be considered 'Low' instead, but this does not significantly detract from the overall quality.",0.00031109999999999997,0.0005002499999999999,0,gpt-4o-mini,gpt-4o-mini
140,Travel insurance coverage details,"{""purpose"": ""Travel Insurance Request"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Medium"", ""agent_type"": ""Senior"", ""priority_level"": ""Medium"", ""required_tools"": [""GDS"", ""FAQ database""], ""customer_status"": ""Unknown"", ""preferred_language"": ""English"", ""ssr_requests"": []}",8,"The output is mostly correct, but there is a minor issue with the 'purpose' field. The correct label should be 'Travel Insurance Request' instead of 'Travel Insurance Request' as it does not match the predefined categories. The sentiment, complexity level, agent type, priority level, required tools, customer status, preferred language, and SSR requests are all accurately represented. Overall, the output captures the intent and details of the email well.",0.00031229999999999995,0.00043282499999999996,0,gpt-4o-mini,gpt-4o-mini
54,Refund Request for Booking #GHI789,"{""purpose"": ""Refund Request"", ""sentiment"": ""Negative"", ""complexity_level"": ""Medium"", ""agent_type"": ""Senior"", ""priority_level"": ""High"", ""required_tools"": [""GDS"", ""invoice system""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",9,"The output accurately captures the intent of the email as a refund request, which aligns with the purpose field. The sentiment is correctly identified as negative due to the urgency and dissatisfaction implied in the request. The complexity level is appropriately marked as medium, reflecting the need for processing a refund. The agent type is suitable as senior, given the nature of the request. The priority level is correctly identified as high due to the urgency expressed by the customer. The required tools listed (GDS and invoice system) are appropriate for handling a refund request. The customer status is correctly identified as a customer, and the preferred language is accurately noted as English. The only minor issue is that the required tools could have included 'Knowledge Base' for reference to the refund policy, but this does not significantly detract from the overall accuracy.",0.000318225,0.00048352499999999995,0,gpt-4o-mini,gpt-4o-mini
9,Loyalty Points Status,"{""purpose"": ""Loyalty Programs"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Low"", ""required_tools"": [""Loyalty Program Database""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as 'Loyalty Programs', the sentiment is neutral, and the complexity level is low, which aligns with the customer's inquiry about loyalty points. The agent type is appropriate as 'Junior', and the priority level is low, which is fitting given the nature of the request. The required tools are relevant, and the customer status is correctly identified as 'Customer'. The preferred language is also accurately noted as 'English'. All fields match the predefined labels perfectly.",0.00030982499999999996,0.00044415,0,gpt-4o-mini,gpt-4o-mini
103,Price Inquiry and Promotions,"{""purpose"": ""Pricing and Promotions"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""GDS"", ""FAQ database""], ""customer_status"": ""Unknown"", ""preferred_language"": ""English"", ""ssr_requests"": []}",8,"The output is mostly correct, but there is a minor issue with the `purpose` field. While it correctly identifies the inquiry about pricing and promotions, it should also reflect the aspect of group rates, which is a specific detail mentioned in the email. The sentiment, complexity level, agent type, priority level, required tools, customer status, preferred language, and SSR requests are all accurately represented.",0.000311625,0.00042675000000000005,0,gpt-4o-mini,gpt-4o-mini
150,Refund request,"{""purpose"": ""Refund Request"", ""sentiment"": ""Negative"", ""complexity_level"": ""Medium"", ""agent_type"": ""Senior"", ""priority_level"": ""High"", ""required_tools"": [""GDS"", ""invoice system""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as 'Refund Request', the sentiment is appropriately labeled as 'Negative', and the complexity level is assessed as 'Medium'. The agent type is suitable as 'Senior', and the priority level is rightly marked as 'High' due to the urgency of the refund request. The required tools listed ('GDS', 'invoice system') are appropriate for handling this request. The customer status is correctly identified as 'Customer', the preferred language is 'English', and there are no SSR requests, which aligns with the email content. Overall, the output is complete and accurate.",0.0003135,0.00046080000000000003,0,gpt-4o-mini,gpt-4o-mini
