id,subject,predicted_json,validation_score,validation_evaluation,classification_cost,evaluation_cost,run_id,classification_model,evaluation_model
33,How many points do I need for a free stay?,"{""purpose"": ""Loyalty Programs"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Low"", ""required_tools"": [""FAQ database""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as 'Loyalty Programs', the sentiment is 'Neutral', and the complexity level is 'Low', all of which align with the content of the email. The agent type, priority level, required tools, customer status, preferred language, and SSR requests are also appropriately classified. No discrepancies were found.",0.00030375,0.00042772499999999995,0,gpt-4o-mini,gpt-4o-mini
114,Refund request due to cancellation,"{""purpose"": ""Refund Request"", ""sentiment"": ""Negative"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""invoice system""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as 'Refund Request', the sentiment is appropriately labeled as 'Negative', and the complexity level is correctly assessed as 'Low'. The agent type is suitable as 'Junior', and the priority level is correctly marked as 'Medium' given the context of a refund inquiry. The required tools, customer status, preferred language, and SSR requests are all accurately represented. Overall, the output is complete and aligns perfectly with the email content.",0.000303225,0.00044235000000000005,0,gpt-4o-mini,gpt-4o-mini
154,Lost Item Inquiry,"{""purpose"": ""Lost and Found Request"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""Lost and Found Database""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as 'Lost and Found Request', the sentiment is 'Neutral', and the complexity level is 'Low', all of which align with the content of the email. The agent type is appropriately classified as 'Junior', and the priority level is 'Medium', which is suitable given the nature of the request. The required tools, customer status, preferred language, and SSR requests are also correctly identified. Overall, the output is complete and accurate.",0.0003036,0.0004424249999999999,0,gpt-4o-mini,gpt-4o-mini
133,Flight Cancellation on March 20,"{""purpose"": ""Cancellation Request"", ""sentiment"": ""Negative"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""GDS overlay"", ""invoice system""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as a 'Cancellation Request', the sentiment is appropriately labeled as 'Negative', and the complexity level is correctly assessed as 'Low'. The agent type is suitable as 'Junior', and the priority level is correctly marked as 'Medium' given the context of a flight cancellation. The required tools listed are appropriate for processing the cancellation, the customer status is accurately identified as 'Customer', and the preferred language is correctly noted as 'English'. There are no discrepancies or areas for improvement.",0.00030532499999999995,0.000448575,0,gpt-4o-mini,gpt-4o-mini
66,Refund Request for Double Charge,"{""purpose"": ""Refund Request"", ""sentiment"": ""Negative"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""invoice system""], ""customer_status"": ""Customer"", ""preferred_language"": ""French"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as 'Refund Request', the sentiment is appropriately labeled as 'Negative', and the complexity level is correctly assessed as 'Low'. The agent type is suitable as 'Junior', and the priority level is correctly marked as 'Medium'. The required tools, customer status, preferred language, and SSR requests are all accurately represented. Overall, the output is complete and matches the email content perfectly.",0.0003012,0.000434925,0,gpt-4o-mini,gpt-4o-mini
128,Loyalty Points Inquiry,"{""purpose"": ""Loyalty Programs"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""Loyalty Program Database""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as 'Loyalty Programs', the sentiment is 'Neutral', and the complexity level is 'Low', which aligns with the straightforward inquiry about loyalty points. The agent type is appropriately classified as 'Junior', and the priority level is 'Medium', which is suitable given the nature of the request. The required tools, customer status, preferred language, and absence of SSR requests are all correctly represented. Overall, the output is complete and matches the email content perfectly.",0.000304425,0.00044587499999999993,0,gpt-4o-mini,gpt-4o-mini
71,Lost Item Retrieval,"{""purpose"": ""Lost and Found Request"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""Lost and Found database"", ""Customer service system""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as 'Lost and Found Request', the sentiment is 'Neutral', and the complexity level is 'Low', all of which align with the content of the email. The agent type is appropriately classified as 'Junior', and the priority level is 'Medium', which is suitable given the nature of the request. The required tools listed are relevant for handling a lost item inquiry, and the customer status is correctly identified as 'Customer'. The preferred language is also accurately noted as 'English'. Overall, the output is complete and precise.",0.00030749999999999994,0.00045464999999999997,0,gpt-4o-mini,gpt-4o-mini
74,Flight Cancellation March 20th,"{""purpose"": ""Cancellation Request"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""GDS overlay"", ""invoice system""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as a 'Cancellation Request', the sentiment is 'Neutral', and the complexity level is 'Low', which aligns with the straightforward nature of the request. The agent type is appropriately classified as 'Junior', and the priority level is 'Medium', which is suitable given the context of a cancellation. The required tools listed are relevant for processing the cancellation, and the customer status is correctly identified as 'Customer'. The preferred language is also accurately noted as 'English'. Overall, all fields match the predefined labels and the email content perfectly.",0.000307575,0.000456225,0,gpt-4o-mini,gpt-4o-mini
132,Change Room to Suite,"{""purpose"": ""Change Request"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""GDS overlay"", ""invoice system""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",10,"The output accurately reflects the intent, sentiment, and details of the email. The purpose is correctly identified as a 'Change Request', the sentiment is 'Neutral', and the complexity level is 'Low', all of which align with the customer's request to upgrade their room. The agent type is appropriately classified as 'Junior', and the priority level is 'Medium', which is suitable given the nature of the request. The required tools listed are relevant for processing the change request, and the customer status is correctly identified as 'Customer'. The preferred language is also accurately noted as 'English'. Overall, the output is comprehensive and aligns perfectly with the email content.",0.00030555,0.00045719999999999995,0,gpt-4o-mini,gpt-4o-mini
135,Baggage Allowance Inquiry,"{""purpose"": ""Baggage Information"", ""sentiment"": ""Neutral"", ""complexity_level"": ""Low"", ""agent_type"": ""Junior"", ""priority_level"": ""Medium"", ""required_tools"": [""FAQ database""], ""customer_status"": ""Customer"", ""preferred_language"": ""English"", ""ssr_requests"": []}",9,"The output accurately captures the intent of the email as a 'Baggage Information' inquiry, which is correct. The sentiment is appropriately labeled as 'Neutral', reflecting the tone of the email. The complexity level is correctly identified as 'Low', given the straightforward nature of the request. The agent type 'Junior' is suitable for handling this inquiry. The priority level is marked as 'Medium', which is reasonable considering the specific date mentioned. The required tools include 'FAQ database', which is appropriate for answering baggage-related questions. The customer status is correctly identified as 'Customer', and the preferred language is 'English', matching the email content. The only minor issue is that the required tools could also include a more specific tool related to baggage policies, but 'FAQ database' is still acceptable. Overall, the output is very accurate with only minor room for improvement.",0.000303075,0.00048164999999999997,0,gpt-4o-mini,gpt-4o-mini
